Shop ID;Prod ID;In pieces;In liters;In boxes;1-in pieces, 0-in boxes
130010;1016300015;20;11,4;1;0
130010;1041850002;24;5,76;1;0
130010;1047569959;25;70,75;1;0
130010;1049993174;12;7,56;1;0
130010;1049995237;8;8,4;1;0
130010;1049999968;48;41,28;1;0
130010;1059100010;72;10,8;1;0
130010;1059990128;27;5,13;1;0
130010;1059990129;27;3,78;1;0
130010;1059990188;27;7,29;1;0
130010;1059990403;6;1,26;1;0
130010;1069990135;20;13,4;1;0
130010;1077040010;40;30,8;1;0
130010;1094940002;18;26,64;1;0
130010;1199991258;24;10,08;1;0
130010;1370400001;6;3,9;1;0
130010;1400000192;18;72,72;1;0
130010;1411440001;12;7,32;1;0
130010;1419300017;12;7,8;1;0
130010;1499919515;8;9,76;1;0
130010;1499919642;20;43,6;1;0
130010;1518500022;27;6,75;1;0
130010;1518500053;27;6,48;1;0
130010;1570400007;12;8,64;1;0
130010;1570400011;40;6,8;1;0
130010;1599400182;24;8,88;1;0
130010;1599401503;25;4,5;1;0
130010;1600000503;5;11,9;1;0
130010;1635300108;36;1,8;1;0
130010;1661500010;20;2,2;1;0
130010;1661500013;36;4,32;1;0
130010;1685600006;12;67,8;1;0
130010;1699100061;20;2,8;1;0
130010;1699100070;20;3;1;0
130010;1699100071;20;3,2;1;0
130010;1699101336;10;12,5;2;0
130010;1699919576;24;9,84;1;0
130010;1799900041;15;20,55;1;0
130010;1830800005;24;8,16;1;0
130010;1830800037;24;8,16;1;0
130010;1929500004;12;1,92;1;0
130010;2001280043;12;21,12;1;0
130010;2006020020;12;21,36;1;0
130010;2299900483;36;13,32;1;0
130010;2400008840;10;21,1;1;0
130010;3043780201;24;28,56;1;0
130010;3043780204;24;29,28;1;0
130010;3070940311;10;1,8;1;0
130010;3072460804;15;18,15;1;0
130010;3076000002;5;1,95;1;0
130010;3085520001;14;10,64;1;0
130010;3091160104;72;25,92;1;0
130010;3113660001;10;4,1;1;0
130010;3133530002;16;25,44;1;0
130010;3133530009;24;4,56;1;0
130010;3133780401;30;45,3;3;0
130010;3139480006;6;8,34;1;0
130010;3151270304;24;5,52;1;0
130010;3152461705;24;5,52;1;0
130010;5011199921;80;43,2;2;0
130010;5013999002;48;31,2;1;0
130010;5017999004;40;12;1;0
130010;5556156801;24;54,96;1;0
130010;9818500027;27;6,75;1;0
130010;9899996045;27;7,29;1;0
130010;9899996637;6;12,66;1;0
130010;9899996797;6;15,18;1;0
130011;1000001231;20;2,4;1;0
130011;1000001634;6;14,52;1;0
130011;1000024381;6;14,82;1;0
130011;1000024630;36;52,56;1;0
130011;1000026173;50;11,5;1;0
130011;1000026249;11;12,98;1;0
130011;1000035015;32;23,04;1;0
130011;1000037266;9;16,92;1;0
